File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_10_1.txt, Execution time:, 61.06, Total cost:, 42528.39, vehicles used:, 105
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_10_2.txt, Execution time:, 61.31, Total cost:, 42873.10, vehicles used:, 93
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_2_1.txt, Execution time:, 38.01, Total cost:, 2704.57, vehicles used:, 20
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_2_2.txt, Execution time:, 60.92, Total cost:, 3048.50, vehicles used:, 18
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_4_1.txt, Execution time:, 60.47, Total cost:, 7152.06, vehicles used:, 40
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_4_2.txt, Execution time:, 60.60, Total cost:, 9049.59, vehicles used:, 36
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_8_1.txt, Execution time:, 60.48, Total cost:, 25246.89, vehicles used:, 81
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C1_8_2.txt, Execution time:, 60.95, Total cost:, 27236.68, vehicles used:, 74
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_10_3.txt, Execution time:, 61.04, Total cost:, 17320.76, vehicles used:, 32
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_10_4.txt, Execution time:, 61.12, Total cost:, 17601.97, vehicles used:, 30
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_2_4.txt, Execution time:, 60.31, Total cost:, 1738.94, vehicles used:, 6
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_2_5.txt, Execution time:, 61.95, Total cost:, 1879.31, vehicles used:, 6
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_4_3.txt, Execution time:, 60.31, Total cost:, 3808.05, vehicles used:, 12
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_4_4.txt, Execution time:, 60.35, Total cost:, 3726.06, vehicles used:, 12
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_8_3.txt, Execution time:, 60.58, Total cost:, 11895.27, vehicles used:, 25
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/C2_8_4.txt, Execution time:, 60.78, Total cost:, 11838.08, vehicles used:, 25
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_10_5.txt, Execution time:, 61.47, Total cost:, 56433.93, vehicles used:, 91
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_10_6.txt, Execution time:, 61.51, Total cost:, 51752.97, vehicles used:, 91
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_2_1.txt, Execution time:, 61.54, Total cost:, 4801.15, vehicles used:, 20
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_2_2.txt, Execution time:, 60.49, Total cost:, 4123.30, vehicles used:, 18
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_4_1.txt, Execution time:, 60.32, Total cost:, 10477.39, vehicles used:, 40
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_4_2.txt, Execution time:, 60.58, Total cost:, 9562.63, vehicles used:, 36
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_8_5.txt, Execution time:, 61.05, Total cost:, 35771.82, vehicles used:, 72
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R1_8_6.txt, Execution time:, 61.19, Total cost:, 33050.77, vehicles used:, 72
File:, /content/drive/MyDrive/MTP/CVRP_TW/inputs/R2_10_7.txt, Execution time:, 60.66, Total cost:, 25874.26, vehicles used:, 19
