File,MST_Total_Cost,Pre_Proc,Route_Time,Post_Proc,Exec_Time,TotalCost1,TotalCost2,Vehicles,Customers,AvgCost
c102.txt,407,0.010259,18.7226,0.00221,18.7349,1752.22,1734.69,27,100,1743.455
C1_10_1.txt,4776,0.10732,147.433,0.009806,147.549,199856.0,199856.0,478,1000,199856.0
C1_10_2.txt,4776,0.097284,139.328,0.013617,139.438,157685.0,157552.0,377,1000,157618.5
C1_2_1.txt,750,0.021095,32.8388,0.002448,32.8621,10525.7,10525.7,92,200,10525.7
C1_2_2.txt,750,0.022058,31.7212,0.003083,31.7461,8297.26,8275.5,72,200,8286.380000000001
C1_4_1.txt,1477,0.043483,60.4871,0.004336,60.5342,30234.8,30234.8,187,400,30234.8
C1_4_2.txt,1477,0.043486,58.6564,0.005791,58.7051,24417.7,24366.0,148,400,24391.85
C1_8_1.txt,3514,0.080782,116.627,0.007805,116.714,119967.0,119967.0,394,800,119967.0
C1_8_2.txt,3514,0.080731,112.392,0.010723,112.482,92494.5,92418.9,306,800,92456.7
c203.txt,470,0.011449,17.7519,0.00423,17.7675,2065.09,2028.21,24,100,2046.65
c204.txt,470,0.01121,17.171,0.009764,17.1918,1348.53,1278.81,13,100,1313.67
C2_10_3.txt,5822,0.095142,132.154,0.03522,132.284,85001.9,84360.1,231,1000,84681.0
C2_10_4.txt,5822,0.096925,126.837,0.120533,127.054,50226.3,49019.9,123,1000,49623.100000000006
C2_2_4.txt,1053,0.021298,29.4793,0.021729,29.5221,3929.34,3748.01,28,200,3838.675
C2_2_5.txt,1053,0.02107,31.1597,0.004824,31.1854,6238.22,6178.34,53,200,6208.280000000001
C2_4_3.txt,1960,0.043967,56.319,0.015651,56.3782,14426.9,14252.4,92,400,14339.65
C2_4_4.txt,1960,0.044911,54.2624,0.062554,54.3696,9096.23,8607.32,47,400,8851.775
C2_8_3.txt,4701,0.081235,106.866,0.026786,106.973,53884.9,53345.1,184,800,53615.0
C2_8_4.txt,4701,0.078814,101.653,0.096553,101.828,30793.8,29605.0,96,800,30199.4
r105.txt,528,0.010366,18.5454,0.001167,18.5568,2423.47,2417.34,39,100,2420.4049999999997
r106.txt,528,0.011286,18.0678,0.001727,18.0807,2180.74,2157.58,31,100,2169.16
R1_10_5.txt,9929,0.096637,143.16,0.007519,143.262,190384.0,190340.0,472,1000,190362.0
R1_10_6.txt,9929,0.096655,137.473,0.012995,137.582,145143.0,144735.0,350,1000,144939.0
R1_2_1.txt,1294,0.021951,32.8757,0.001802,32.899,11200.5,11200.5,95,200,11200.5
R1_2_2.txt,1294,0.022992,31.7207,0.002783,31.7462,9185.25,9104.05,74,200,9144.65
R1_4_1.txt,2481,0.043041,61.3691,0.002997,61.4144,32028.7,32028.7,205,400,32028.7
R1_4_2.txt,2481,0.043699,58.49,0.005136,58.5383,23892.0,23770.4,148,400,23831.2
R1_8_5.txt,7166,0.080084,115.325,0.006048,115.41,120380.0,120358.0,370,800,120369.0
R1_8_6.txt,7166,0.079469,111.327,0.011169,111.417,97290.0,97056.9,292,800,97173.45
r207.txt,528,0.009951,17.1742,0.00788,17.1919,1395.99,1276.33,13,100,1336.1599999999999
r208.txt,528,0.010315,16.803,0.05139,16.8647,1015.94,914.792,6,100,965.366
R2_10_7.txt,9929,0.097923,131.226,0.035099,131.359,95063.5,93851.8,218,1000,94457.65
R2_10_8.txt,9929,0.097196,125.602,0.201425,125.9,52366.4,49969.4,103,1000,51167.9
R2_2_4.txt,1294,0.021231,29.1637,0.040122,29.2249,3703.2,3464.73,19,200,3583.965
R2_2_5.txt,1294,0.021467,31.4825,0.002471,31.5062,8784.78,8765.58,67,200,8775.18
R2_4_3.txt,2481,0.04328,55.3836,0.022062,55.4486,14750.7,14499.5,84,400,14625.1
R2_4_4.txt,2481,0.041646,53.4943,0.051045,53.5867,9956.03,9423.06,44,400,9689.545
R2_8_7.txt,7166,0.079202,105.232,0.030885,105.341,57952.2,57087.3,159,800,57519.75
R2_8_8.txt,7166,0.081886,101.343,0.110153,101.534,34404.1,33146.0,78,800,33775.05
rc101.txt,545,0.011585,18.347,0.001291,18.3597,2790.61,2773.13,37,100,2781.87
rc102.txt,545,0.011503,18.0852,0.001528,18.0981,2540.5,2507.68,31,100,2524.09
RC1_10_10.txt,8206,0.100763,132.398,0.028542,132.526,104969.0,104621.0,246,1000,104795.0
RC1_10_9.txt,8206,0.095471,133.408,0.023473,133.526,111607.0,111317.0,266,1000,111462.0
RC1_2_1.txt,1157,0.022041,32.0956,0.002986,32.1203,8911.81,8889.23,79,200,8900.52
RC1_2_2.txt,1157,0.022105,31.0728,0.005059,31.0998,7277.78,7178.37,58,200,7228.075
RC1_4_3.txt,2167,0.044256,55.9109,0.010311,55.965,16968.4,16693.0,93,400,16830.7
RC1_4_4.txt,2167,0.043602,54.3561,0.021801,54.4212,11699.1,11334.1,59,400,11516.6
RC1_8_10.txt,5908,0.080176,106.832,0.025332,106.937,66201.1,65870.1,194,800,66035.6
RC1_8_9.txt,5908,0.080144,107.566,0.018522,107.664,71388.1,71121.6,212,800,71254.85
rc203.txt,545,0.010908,17.323,0.003968,17.3377,1601.48,1553.88,15,100,1577.68
rc204.txt,545,0.011016,16.9656,0.025947,17.0025,1160.01,1056.19,7,100,1108.1
RC2_10_1.txt,8206,0.099908,137.804,0.013343,137.916,148108.0,148008.0,358,1000,148058.0
RC2_10_2.txt,8206,0.09709,133.972,0.021003,134.089,117737.0,117337.0,277,1000,117537.0
RC2_2_4.txt,1157,0.022153,29.0268,0.043826,29.0927,3369.3,3098.74,17,200,3234.02
RC2_2_5.txt,1157,0.022956,30.8279,0.005455,30.8561,6732.78,6665.77,53,200,6699.275
RC2_4_4.txt,2167,0.042322,53.1269,0.08034,53.2493,8888.7,8478.62,35,400,8683.66
RC2_4_5.txt,2167,0.041808,56.2644,0.010908,56.3166,17974.7,17851.4,101,400,17913.050000000003
RC2_8_1.txt,5908,0.078934,111.438,0.009621,111.525,95090.4,95009.9,292,800,95050.15
RC2_8_2.txt,5908,0.079825,108.107,0.018737,108.205,74229.9,73926.9,220,800,74078.4
