File:, C1_10_1.TXT, Execution time:, 11.63, Total cost:, 47335.84, vehicles used:, 149, max route length:, 16
File:, C1_10_10.TXT, Execution time:, 11.03, Total cost:, 43584.63, vehicles used:, 106, max route length:, 16
File:, C1_10_2.TXT, Execution time:, 11.09, Total cost:, 43486.27, vehicles used:, 115, max route length:, 16
File:, C1_10_3.TXT, Execution time:, 11.46, Total cost:, 43050.72, vehicles used:, 100, max route length:, 16
File:, C1_10_4.TXT, Execution time:, 11.60, Total cost:, 42628.05, vehicles used:, 92, max route length:, 16
File:, C1_10_5.TXT, Execution time:, 10.52, Total cost:, 45337.57, vehicles used:, 133, max route length:, 16
File:, C1_10_6.TXT, Execution time:, 11.06, Total cost:, 44797.54, vehicles used:, 132, max route length:, 16
File:, C1_10_7.TXT, Execution time:, 15.22, Total cost:, 44893.07, vehicles used:, 130, max route length:, 16
File:, C1_10_8.TXT, Execution time:, 10.77, Total cost:, 44117.77, vehicles used:, 119, max route length:, 16
File:, C1_10_9.TXT, Execution time:, 11.26, Total cost:, 42903.13, vehicles used:, 110, max route length:, 16
File:, C2_10_1.TXT, Execution time:, 11.00, Total cost:, 18213.92, vehicles used:, 43, max route length:, 38
File:, C2_10_10.TXT, Execution time:, 10.81, Total cost:, 17948.38, vehicles used:, 39, max route length:, 38
File:, C2_10_2.TXT, Execution time:, 10.87, Total cost:, 18662.15, vehicles used:, 39, max route length:, 38
File:, C2_10_3.TXT, Execution time:, 11.22, Total cost:, 18850.70, vehicles used:, 37, max route length:, 38
File:, C2_10_4.TXT, Execution time:, 10.99, Total cost:, 18441.49, vehicles used:, 36, max route length:, 38
File:, C2_10_5.TXT, Execution time:, 11.03, Total cost:, 18577.25, vehicles used:, 41, max route length:, 38
File:, C2_10_6.TXT, Execution time:, 10.79, Total cost:, 18657.38, vehicles used:, 40, max route length:, 37
File:, C2_10_7.TXT, Execution time:, 10.77, Total cost:, 18817.64, vehicles used:, 39, max route length:, 37
File:, C2_10_8.TXT, Execution time:, 10.87, Total cost:, 17944.49, vehicles used:, 40, max route length:, 38
File:, C2_10_9.TXT, Execution time:, 10.72, Total cost:, 18467.05, vehicles used:, 38, max route length:, 37
File:, R1_10_1.TXT, Execution time:, 11.70, Total cost:, 56291.95, vehicles used:, 100, max route length:, 15
File:, R1_10_10.TXT, Execution time:, 11.45, Total cost:, 50858.08, vehicles used:, 92, max route length:, 16
File:, R1_10_2.TXT, Execution time:, 12.11, Total cost:, 52671.68, vehicles used:, 92, max route length:, 17
File:, R1_10_3.TXT, Execution time:, 12.41, Total cost:, 51112.61, vehicles used:, 91, max route length:, 17
File:, R1_10_4.TXT, Execution time:, 11.52, Total cost:, 46652.40, vehicles used:, 91, max route length:, 18
File:, R1_10_5.TXT, Execution time:, 11.59, Total cost:, 54545.69, vehicles used:, 92, max route length:, 17
File:, R1_10_6.TXT, Execution time:, 11.60, Total cost:, 50554.16, vehicles used:, 92, max route length:, 17
