File,Exec_Time,TotalCost,Vehicles,Customers
c102.txt,60.13,828.94,10,100
C1_10_1.txt,61.06,42528.39,105,1000
C1_10_2.txt,61.31,42873.1,93,1000
C1_2_1.txt,38.01,2704.57,20,200
C1_2_2.txt,60.92,3048.5,18,200
C1_4_1.txt,60.47,7152.06,40,400
C1_4_2.txt,60.6,9049.59,36,400
C1_8_1.txt,60.48,25246.89,81,800
C1_8_2.txt,60.95,27236.68,74,800
c203.txt,60.06,591.17,3,100
c204.txt,60.25,590.6,3,100
C2_10_3.txt,61.04,17320.76,32,1000
C2_10_4.txt,61.12,17601.97,30,1000
C2_2_4.txt,60.31,1738.94,6,200
C2_2_5.txt,61.95,1879.31,6,200
C2_4_3.txt,60.31,3808.05,12,400
C2_4_4.txt,60.35,3726.06,12,400
C2_8_3.txt,60.58,11895.27,25,800
C2_8_4.txt,60.78,11838.08,25,800
r105.txt,60.17,1377.11,14,100
r106.txt,60.12,1257.96,12,100
R1_10_5.txt,61.47,56433.93,91,1000
R1_10_6.txt,61.51,51752.97,91,1000
R1_2_1.txt,61.54,4801.15,20,200
R1_2_2.txt,60.49,4123.3,18,200
R1_4_1.txt,60.32,10477.39,40,400
R1_4_2.txt,60.58,9562.63,36,400
R1_8_5.txt,61.05,35771.82,72,800
R1_8_6.txt,61.19,33050.77,72,800
r207.txt,61.14,811.51,3,100
r208.txt,60.49,728.63,2,100
R2_10_7.txt,60.66,25874.26,19,1000
R2_10_8.txt,60.64,20317.48,19,1000
R2_2_4.txt,61.46,2066.16,4,200
R2_2_5.txt,61.39,3445.47,4,200
R2_4_3.txt,60.32,6381.14,8,400
R2_4_4.txt,60.64,4568.51,8,400
R2_8_7.txt,60.86,18745.92,15,800
R2_8_8.txt,60.62,14321.43,15,800
rc101.txt,60.13,1696.95,14,100
rc102.txt,60.15,1477.54,13,100
RC1_10_10.txt,61.48,46678.05,90,1000
RC1_10_9.txt,61.43,47014.06,90,1000
RC1_2_1.txt,60.4,3826.58,18,200
RC1_2_2.txt,60.23,3468.89,18,200
RC1_4_3.txt,60.73,7950.62,36,400
RC1_4_4.txt,60.92,7559.69,36,400
RC1_8_10.txt,60.99,33547.41,72,800
RC1_8_9.txt,61.54,33875.87,72,800
rc203.txt,60.18,1051.55,3,100
rc204.txt,60.08,799.06,3,100
RC2_10_1.txt,61.35,30019.13,25,1000
RC2_10_2.txt,61.44,26177.36,22,1000
RC2_2_4.txt,60.08,2150.59,4,200
RC2_2_5.txt,60.76,2750.89,5,200
RC2_4_4.txt,60.63,3945.96,8,400
RC2_4_5.txt,60.33,6051.36,10,400
RC2_8_1.txt,60.81,20117.04,23,800
RC2_8_2.txt,60.56,18119.99,19,800
