File,ExecutionTime(s),TotalCost,VehiclesUsed
c101.txt,35.24,828.94,10
c102.txt,60.13,828.94,10
c103.txt,60.15,828.06,10
c104.txt,60.86,824.78,10
c105.txt,60.14,828.94,10
c106.txt,60.19,828.94,10
c107.txt,60.44,828.94,10
c108.txt,60.12,828.94,10
c109.txt,61.42,828.94,10
c201.txt,19.32,591.56,3
c202.txt,20.52,591.56,3
c203.txt,60.18,591.17,3
c204.txt,60.14,590.6,3
c205.txt,19.64,588.88,3
c206.txt,20.17,588.49,3
c207.txt,20.08,588.29,3
c208.txt,20.01,588.32,3
r101.txt,60.26,1650.8,19
r102.txt,60.54,1486.12,17
r103.txt,60.2,1292.68,13
r104.txt,60.15,984.42,10
r105.txt,60.17,1377.11,14
r106.txt,60.22,1258.48,12
r107.txt,60.12,1115.84,10
r108.txt,60.09,993.92,9
r109.txt,60.45,1213.4,11
r110.txt,60.08,1131.04,10
r111.txt,60.66,1111.48,10
r112.txt,60.23,964.71,10
r201.txt,60.45,1253.02,4
r202.txt,60.08,1199.66,3
r203.txt,60.17,950.27,3
r204.txt,60.17,840.72,2
r205.txt,60.06,994.43,3
r206.txt,60.1,915.33,3
r207.txt,60.33,814.99,3
r208.txt,60.69,734.57,2
r209.txt,62.17,917.35,3
r210.txt,60.4,960.75,3
r211.txt,60.59,893.17,2
rc101.txt,60.17,1636.5,15
rc102.txt,60.14,1477.54,13
rc103.txt,60.32,1262.02,11
rc104.txt,60.12,1136.6,10
rc105.txt,60.13,1629.44,13
rc106.txt,60.18,1376.26,12
rc107.txt,60.18,1230.95,11
rc108.txt,60.1,1140.83,10
rc201.txt,60.12,1406.94,4
rc202.txt,60.05,1413.47,3
rc203.txt,60.25,1068.6,3
rc204.txt,60.09,798.56,3
rc205.txt,60.6,1297.65,4
rc206.txt,60.73,1168.73,3
rc207.txt,60.09,1098.86,3
rc208.txt,61.06,833.23,3
