File:, C1_10_1.txt, Execution time:, 61.14, Total cost:, 42492.97, vehicles used:, 102, max route length:, 16
File:, C1_10_2.txt, Execution time:, 61.27, Total cost:, 44003.93, vehicles used:, 93, max route length:, 16
File:, C2_10_3.txt, Execution time:, 61.00, Total cost:, 17745.89, vehicles used:, 31, max route length:, 40
File:, C2_10_4.txt, Execution time:, 60.92, Total cost:, 17434.77, vehicles used:, 31, max route length:, 39
File:, R1_10_5.txt, Execution time:, 61.21, Total cost:, 57643.48, vehicles used:, 91, max route length:, 16
File:, R1_10_6.txt, Execution time:, 61.54, Total cost:, 51853.10, vehicles used:, 91, max route length:, 16
File:, R2_10_7.txt, Execution time:, 61.11, Total cost:, 26781.25, vehicles used:, 19, max route length:, 64
File:, R2_10_8.txt, Execution time:, 61.08, Total cost:, 20297.15, vehicles used:, 19, max route length:, 61
File:, RC1_10_10.txt, Execution time:, 61.47, Total cost:, 46717.33, vehicles used:, 90, max route length:, 16
File:, RC1_10_9.txt, Execution time:, 61.71, Total cost:, 46696.40, vehicles used:, 90, max route length:, 17
File:, RC2_10_1.txt, Execution time:, 60.82, Total cost:, 29448.06, vehicles used:, 26, max route length:, 56
File:, RC2_10_2.txt, Execution time:, 60.72, Total cost:, 25553.54, vehicles used:, 24, max route length:, 60

File:, C1_10_1.txt, Execution time:, 122.41, Total cost:, 42479.06, vehicles used:, 100, max route length:, 16
File:, C1_10_2.txt, Execution time:, 121.23, Total cost:, 43315.23, vehicles used:, 92, max route length:, 15
File:, C2_10_3.txt, Execution time:, 120.59, Total cost:, 16591.89, vehicles used:, 30, max route length:, 39
File:, C2_10_4.txt, Execution time:, 120.86, Total cost:, 17018.85, vehicles used:, 30, max route length:, 39
File:, R1_10_5.txt, Execution time:, 121.50, Total cost:, 56415.91, vehicles used:, 91, max route length:, 16
File:, R1_10_6.txt, Execution time:, 121.62, Total cost:, 51784.94, vehicles used:, 91, max route length:, 18
File:, R2_10_7.txt, Execution time:, 120.77, Total cost:, 26395.46, vehicles used:, 19, max route length:, 61
File:, R2_10_8.txt, Execution time:, 121.08, Total cost:, 20129.67, vehicles used:, 19, max route length:, 61
File:, RC1_10_10.txt, Execution time:, 121.22, Total cost:, 45968.19, vehicles used:, 90, max route length:, 17
File:, RC1_10_9.txt, Execution time:, 120.98, Total cost:, 46667.32, vehicles used:, 90, max route length:, 16
File:, RC2_10_1.txt, Execution time:, 120.62, Total cost:, 29453.25, vehicles used:, 25, max route length:, 57
File:, RC2_10_2.txt, Execution time:, 120.63, Total cost:, 25843.81, vehicles used:, 22, max route length:, 61
