R102_50_RANDOM_REINDEXED

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      55         45         13          0        197         10   
    3      55         20         19        149        159         10   
    4      25         30          3         99        109         10   
    5      10         43          9         95        105         10   
    6      55         60         16         97        107         10   
    7      20         65         12         67         77         10   
    8      30         25         23        159        169         10   
    9      15         10         20         32         42         10   
   10      10         20         19         75         85         10   
   11      20         40         12         87         97         10   
   12      45         65          9        126        136         10   
   13      45         20         11          0        201         10   
   14      55          5         29         68         78         10   
   15      65         35          3        153        163         10   
   16      45         30         17          0        208         10   
   17      35         40         16         37         47         10   
   18      64         42          9         63         73         10   
   19      40         60         21         71         81         10   
   20      31         52         27          0        202         10   
   21      53         52         11         37         47         10   
   22      65         55         14          0        183         10   
   23       2         60          5         41         51         10   
   24       5          5         16         83         93         10   
   25      60         12         31         44         54         10   
   26      42          7          5         97        107         10   
   27      24         12          5         31         41         10   
   28      11         14         18         69         79         10   
   29       6         38         16         32         42         10   
   30       8         56         27         51         61         10   
   31      13         52         36          0        192         10   
   32       6         68         30        108        118         10   
   33      47         47         13          0        203         10   
   34      27         43          9          0        208         10   
   35      57         29         18        140        150         10   
   36      63         23          2        136        146         10   
   37      32         12          7        101        111         10   
   38      21         24         28          0        202         10   
   39      24         58         19         58         68         10   
   40      27         69         10         34         44         10   
   41      62         77         20         51         61         10   
   42      67          5         25         83         93         10   
   43      56         39         36        142        152         10   
   44      57         68         15         77         87         10   
   45      47         16         25          0        197         10   
   46      46         13          8        149        159         10   
   47      49         42         13         73         83         10   
   48      57         48         23         92        102         10   
   49      14         37         11          0        198         10   
   50      25         24         20          0        205         10   
