sample

CUSTOM
VEHICLE
NUMBER     CAPACITY
   3         30

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0        0         0         0          0         300          0
    1       12         5         5         10          40          5
    2       15         8         8         20          60          5
    3       10         2         6          0          50          5
    4      -10         5         7         50         100          5
    5      -12         8         4         30          70          5
    6       -8        12         9         60          90          5
    7        0        15        10         80         120          5
    8       -5       -10         5         40         100          5
    9       -8       -12         8        100         150          5
   10      -10       -15         6        120         180          5
